Región,Estados,Rendimiento Base (ton/ha),Precipitación Anual (mm),Tipo de Riego,Clasificación
NOROESTE,"Sinaloa, Sonora",8.5,350,Tecnificado,Árido/Semiárido
CENTRO-OCCIDENTE,"Jalisco, Guanajuato",6.2,750,Mixto,Templado/Subhúmedo
SURESTE,"Chiapas, Tabasco",4.1,1500,Temporal,Cálido/Húmedo
